"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","登录","2","0","登录失败","0"
"0","","0","登录","1","0","登录成功","0"
"0","","0","用户管理","1","0","修改失败","0"
"0","","0","用户管理","1","0","查询成功","0"
"0","","0","用户管理","1","0","新增成功","0"
"0","","0","用户管理","2","0","查询失败","0"
"0","","0","图片上传","1","0","上传成功","0"
"0","","0","图片上传","1","0","上传失败","0"
"0","","0","用户管理","1","0","修改成功","0"
"0","","0","用户管理","1","0","添加失败","0"
